Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?"
Não,"Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Alta,Não se aplica,Alta,Não se aplica,Bom,Bom,Bom,Bom,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,Palestras à tarde,"Segunda-feira, Terça-feira",Média,Média,Alta,Média,Média,Alta,Indiferente,Indiferente,Indiferente,Indiferente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,Tutoriais,Domingo,,,,,Alta,,Bom,Bom,Excelente,Bom,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira",Alta,,Alta,,,,Excelente,Excelente,Excelente,Bom,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos"
Sim,Tutoriais,Sábado,Muito alta,Não se aplica,Não se aplica,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,"Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Bom,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira",Alta,Alta,Alta,Média,,,Excelente,Bom,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Ferramentas utilizadas no evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Não ter ninguém com quem deixar os filhos,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos"
Sim,Palestras à tarde,"Sexta-feira, Domingo",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Estou no Canadá até 2023
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira",Alta,Média,Muito alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Dificuldade em liberação pela empresa, Não morar na região que o evento ocorrer."
Não,Palestras à tarde,Segunda-feira,Alta,,Alta,,,,Bom,Bom,Bom,Não se aplica,Alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Média,Muito alta,Média,Baixa,,Alta,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,Palestras à tarde,"Sexta-feira, Domingo",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Estou no Canadá até 2023
Sim,Palestras à tarde,"Quinta-feira, Sexta-feira",Muito alta,,Muito alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Conectividade,Insegurança relacionada a pandemia COVID-19
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,Rodas de conversa,Terça-feira,Alta,Alta,Alta,Alta,Alta,Alta,Bom,Excelente,Bom,Bom,Muito alta,Muito baixa,"Acessibilidade do evento, Ferramentas utilizadas no evento","Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Média,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Média,Excelente,Bom,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Custo da estadia
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Conectividade,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Muito alta,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Muito alta,Alta,Alta,Muito alta,Excelente,Excelente,Bom,Bom,Muito alta,Muito alta,"Horários das atividades incompatíveis com agenda, Acessibilidade do evento","Insegurança relacionada a pandemia COVID-19, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Muito alta,Muito alta,Alta,Não se aplica,Média,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,"Rodas de conversa, Palestras à tarde, Tutoriais","Terça-feira, Domingo",Muito alta,Muito alta,Muito alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Moro fora do Brasil
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira",Muito alta,Baixa,Muito alta,,,,Excelente,Bom,Bom,Não se aplica,Muito alta,Muito baixa,"O TRABALHO IMPEDE, ÀS VEZES, A CONCENTRAÇÃO NECESSÁRIA","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,Palestras à noite,"Segunda-feira, Quarta-feira",Muito alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,,,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Bom,Bom,Excelente,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Indiferente,Indiferente,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Conectividade","Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Não ter ninguém com quem deixar os filhos"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Quarta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Acessibilidade do evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Acessibilidade do evento"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Muito alta,Alta,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Não,"Palestras à tarde, Palestras à noite",Terça-feira,Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Domingo",Muito alta,Não se aplica,Muito alta,Não se aplica,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Custo do transporte
Sim,Palestras à tarde,"Segunda-feira, Terça-feira",Muito alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,Palestras à noite,"Segunda-feira, Terça-feira",Média,Alta,Alta,,,,Bom,Bom,,,Alta,,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte"
Não,"Palestras à tarde, Keynotes","Segunda-feira, Terça-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Péssimo,Péssimo,Péssimo,Péssimo,Muito baixa,Muito baixa,Achei péssimo o enfoque do evento,Custo do ingresso
Sim,Palestras à noite,"Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Baixa,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quinta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Muito alta,Não se aplica,Muito alta,Não se aplica,Muito alta,Não se aplica,Bom,Bom,Bom,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Keynotes, Tutoriais","Segunda-feira, Quinta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Bom,Excelente,Bom,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,Tutoriais,Domingo,Alta,,,,Alta,,,,Bom,,Alta,Muito baixa,Horários das atividades incompatíveis com agenda,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Média,Alta,Muito alta,Alta,Baixa,Baixa,Excelente,Excelente,Excelente,Bom,Muito alta,Alta,"Acessibilidade do evento, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Alta,Muito alta,Alta,Média,Excelente,Excelente,Excelente,Bom,Muito alta,Baixa,Ferramentas utilizadas no evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira",Alta,Média,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Média,Muito alta,Não se aplica,Não se aplica,Indiferente,Bom,Ruim,Não se aplica,Muito alta,Baixa,,Custo do transporte
Não,Palestras à noite,"Terça-feira, Quarta-feira, Quinta-feira",Muito alta,Não se aplica,Média,Alta,Não se aplica,Não se aplica,Bom,Bom,Bom,Não se aplica,Média,Alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Não,"Rodas de conversa, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Muito alta,Alta,Alta,,,Bom,Bom,,,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Quarta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,Palestras à noite,"Sábado, Domingo",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa, Acessibilidade do evento"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Muito alta,Não se aplica,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo do ingresso"
Sim,Palestras à noite,Quinta-feira,Alta,,,,,,,,,Excelente,Alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo do ingresso, Acessibilidade do evento"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Quinta-feira",Alta,Média,Alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Bom,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Alta,Muito alta,Média,,Excelente,Bom,Bom,Bom,Muito alta,Baixa,"Não houve impeditivo dessa vez e acredito que da próxima, caso haja PyBr online, também espero que não exista.","Custo do transporte, Custo da estadia"
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira",Alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Keynotes, Sprints","Segunda-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Média,Muito alta,Não se aplica,Muito alta,Excelente,Indiferente,Bom,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte"
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Bom,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,,Insegurança relacionada a pandemia COVID-19
Sim,"Palestras à noite, Sprints",Sábado,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Acessibilidade do evento"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Alta,Muito alta,Alta,Muito alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Não,"Palestras à tarde, Keynotes","Segunda-feira, Terça-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,,,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte"
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Não se aplica,Bom,Bom,Bom,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde","Quarta-feira, Sexta-feira",Alta,Média,Alta,Média,Baixa,Média,Bom,Bom,Bom,Indiferente,Alta,Média,"Horários das atividades incompatíveis com agenda, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à noite, Tutoriais","Segunda-feira, Quarta-feira, Quinta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,Palestras à noite,Quinta-feira,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade","Custo do transporte, Custo da estadia"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Alta,Não se aplica,Muito alta,Não se aplica,Bom,Bom,Bom,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde","Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Bom,Excelente,Bom,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade",Insegurança relacionada a pandemia COVID-19
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Média,Alta,Alta,Muito alta,Bom,Bom,Bom,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Não,"Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
