Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?","Se escolheu alguma das opções acima, detalhe os motivos abaixo.",Como podemos melhorar na próxima edição da Python Brasil?,Você têm algum outro comentário sobre a Python Brasil 2020?
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Alta,Muito alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Não ter ninguém com quem deixar os filhos,"Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos","Como estou em outro estado, a participação presencial fica comprometida.","Acredito que ainda haja muita gente que gostaria de ter uma sequencia de palestras, envolvendo programações básicas, inclusive uma de lógica. De modo que o principiante pudesse conseguir entender 15% de programação e já aplicar.","Evento com muitos assuntos, mas gostei em como separaram os níveis, apenas que se tiver uma sequencia de conteúdos e um vídeo de como baixar os dados para aplicar, ainda tenho dificuldades de baixar do github ou de encontrar os scripts que alguns palestrantes deixaram. No geral parabéns e que seja sempre um sucesso esse evento."
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Quarta-feira, Quinta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,,"Custo do transporte, Custo da estadia",,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Alta,Alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,Palestras à noite,"Quarta-feira, Quinta-feira, Sábado",Muito alta,Alta,Alta,Média,Média,Média,Bom,Bom,Bom,Bom,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo da estadia, Dificuldade em liberação pela empresa",Liberação depende do mês,Divulgação e palestrares,"É um ótimo evento, porém pode melhorar ainda muito"
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Muito alta,Alta,Muito alta,Alta,Excelente,Excelente,Excelente,Bom,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa","Acredito que o maior impeditivo para participar do evento presencial são os custos de transporte, hotel e liberação da empresa. Isso é sanado com eventos onlines que no caso depende mais de uma boa conectividade de internet",Mais vagas para que se possa participar de tutoriais.,"Adorei o evento, gostaria de agradecer a organização por ele. Um evento dessa magnitude é sempre difícil de organizar, mas tudo ocorreu da melhor maneira possível."
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Não ter ninguém com quem deixar os filhos,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos","De fato o maior fator limitante foi ter que conciliar os eventos com a presença das crianças devido ao isolamento social. Mesmo assim não tenho dúvida que, no atual contexto, as dificuldades teriam sido ainda maiores se o evento tivesse sido presencial.",Achei realmente excepcional. Mantenham a sintonia e o espírito de comunidade que tudo funcionará muito bem.,Achei que apesar do evento ser on-line o espírito de comunidade foi muito forte. Esse foi meu primeiro evento Python Brasil e realmente sai me sentindo parte desse grande e entusiasmado coletivo.
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,Parabéns a toda equipe organizadora do evento!
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Conectividade","Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,"indo a regiõs que dificilmete participam dos eventos, tais como, manaus-AM, boa vista-RR,entre outros",
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite",Segunda-feira,Média,Muito baixa,Alta,Não se aplica,Não se aplica,Não se aplica,Ruim,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",Bem improvável da minha empresa não liberar para o evento e o custo de viagem e estadia está bem alto.,"Os horários das palestras poderiam ser melhores. Também deveria ter temas mais diversos, a mais parte foca em python para infraestrutura, devops e data science, mas acredito que a utilização de python para web também pode ser grande.",
Sim,"Rodas de conversa, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Não se aplica,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Acessibilidade do evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte",,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes",Segunda-feira,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia",,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Alta,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",,"Me apaixonei pela comunidade. Difícil até sugerir melhorias, a única coisa que eu gostaria é que edições presenciais tenham ao menos algumas atividades online, seria ótimo.",PARABÉÉÉÉÉÉÉNS!!!!!!
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Alta,Alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Dificuldade em liberação pela empresa","Atualmente trabalho em uma empresa com PHP, então conseguir ser liberado é mais complicado. Além do mais acredito que não me sentiria confortável em uma edição sem ter uma vacina ainda para a Covid.","Fiquei um pouco confuso no formato do evento no primeiro dia, então assisti sequencialmente a mesma ""sala"" PEP 0, sem saber que tinham outros. No site que tinha a agenda eu achei que faltou um filtro por horário e os dias se atualizarem a medida que o evento acontecia.","Foi o melhor evento de tecnologia que eu fui durante a pandemia, achei a proposta excelente, a ideia de conversar pelo discord deu um contexto de um bar realmente, foi bem interessante. Acho que meu comentário é que mesmo presencialmente acho que a Python Brasil poderia tentar fazer um modelo híbrido para as próximas edições."
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Muito baixa,Média,Bom,Excelente,Bom,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte",,,
Não,"Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Alta,Não se aplica,Alta,Não se aplica,Bom,Bom,Bom,Bom,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa","Na carreira dev atual tem sido comum mudanças de empresa em um curto espaço de tempo. Já passei por empresas que não só liberavam a ida para a conferência como pagavam ingresso, passagem e estadia porém isso pode não ser realidade em empresas futuras.","Gostei bastante da divisão em trilhas de acordo com o nível das palestras, espero que essa divisão continue e seja incentivado a submissão de palestras mais avançadas e ao mesmo tempo permitindo a submissão de palestras para iniciantes.",Parabéns a todos os voluntários por terem feito um excelente trabalho esse ano.
Sim,Palestras à tarde,"Segunda-feira, Terça-feira",Média,Média,Alta,Média,Média,Alta,Indiferente,Indiferente,Indiferente,Indiferente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso","Moro em BSB e sou estagiário, então não tenho muito dinheiro livre pra viajar","O evento foi maneiro, o problema que coincidiu com a semana de provas",Não
Sim,Tutoriais,Domingo,,,,,Alta,,Bom,Bom,Excelente,Bom,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo do ingresso",,deixar a versão online e enviar gravação do tutorial para podermos estudar melhor depois.,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira",Alta,,Alta,,,,Excelente,Excelente,Excelente,Bom,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos","Morando no extremo norte do País, acho pouco provavel que seja realizado na minha região, logo, fica difícil ir para outro estado.",,"Envio da abertura das turmas fos tutoriais igualmente. Recebi o email bem depois e estavam cheias, quando recebi de novo o email sobre a reabertura, já estavam cheias novamente. Deveria ter um horário definido para todos tentar igual"
Sim,Tutoriais,Sábado,Muito alta,Não se aplica,Não se aplica,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia","Dependendo da localidade do evento, será difícil comparecer.",,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,,,
Sim,"Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Bom,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,Novo na empresa,Sem resposta,Muito show
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira",Alta,Alta,Alta,Média,,,Excelente,Bom,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Ferramentas utilizadas no evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",Se o evento for presencial não poderei ir pela questão do Covid e custo da viagem.,Mantendo ele online e trazendo muitas mais opções de atividades.,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Não ter ninguém com quem deixar os filhos,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos","De fato o maior fator limitante foi ter que conciliar os eventos com a presença das crianças devido ao isolamento social. Mesmo assim não tenho dúvida que, no atual contexto, as dificuldades teriam sido ainda maiores se o evento tivesse sido presencial.",Achei realmente excepcional. Mantenham a sintonia e o espírito de comunidade que tudo funcionará muito bem.,Achei que apesar do evento ser on-line o espírito de comunidade foi muito forte. Esse foi meu primeiro evento Python Brasil e realmente sai me sentindo parte desse grande e entusiasmado coletivo.
Sim,Palestras à tarde,"Sexta-feira, Domingo",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Estou no Canadá até 2023,"Se for online, tem que não bater com o horário da minha faculdade",Trazer mais palestrantes e temas legais,Incrível
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira",Alta,Média,Muito alta,Alta,Alta,Alta,Bom,Bom,Bom,Bom,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Dificuldade em liberação pela empresa, Não morar na região que o evento ocorrer.",Não morar na região que o evento ocorrer.,,Continuem com esse grande evento.
Não,Palestras à tarde,Segunda-feira,Alta,,Alta,,,,Bom,Bom,Bom,Não se aplica,Alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Média,Muito alta,Média,Baixa,,Alta,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,"sem vacina, sem chance",,
Sim,Palestras à tarde,"Sexta-feira, Domingo",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Estou no Canadá até 2023,"Se for online, tem que não bater com o horário da minha faculdade",Trazer mais palestrantes e temas legais,Incrível
Sim,Palestras à tarde,"Quinta-feira, Sexta-feira",Muito alta,,Muito alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Conectividade,Insegurança relacionada a pandemia COVID-19,,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,
Sim,Rodas de conversa,Terça-feira,Alta,Alta,Alta,Alta,Alta,Alta,Bom,Excelente,Bom,Bom,Muito alta,Muito baixa,"Acessibilidade do evento, Ferramentas utilizadas no evento","Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Média,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",Por que. Nem todos tem condições .,Pra mim nada achei excelente,Não
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Média,Excelente,Bom,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Custo da estadia,Atualmente estou desempregado,oferecendo mais cursos práticos,nao
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,Conectividade,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia","Tudo depende da onde, cidade e estado onde vai ocorrer o evento e os avanços de uma possível vacina e distribuição.",,
Não,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Muito alta,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Dificuldade em liberação pela empresa",,,"Foi bem legal - tudo muito bom mesmo. O ponto de atenção que deixo é pensar uma forma melhor de distribuir as vagas dos tutoriais (e, não, infelizmente não tenho uma ideia pronta). Mas com inscrições prévias para tutoriais gratuitos acotence das pessoas se inscreverem e não comparecerem. (ministrei o meu tutorial para apenas 3 pessoas, e a informação circulando é que não havia mais vagas pra nenhum tutorial). Talvez um esquema de fila de espera explícita, ou a cobrança de uma taxa simbólica (~ R$20,00 - com possibilidade de pedido de isenção mais ""manual"")"
Sim,"Palestras à tarde, Palestras à noite, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Muito alta,Alta,Alta,Muito alta,Excelente,Excelente,Bom,Bom,Muito alta,Muito alta,"Horários das atividades incompatíveis com agenda, Acessibilidade do evento","Insegurança relacionada a pandemia COVID-19, Custo do ingresso",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Alta,Muito alta,Muito alta,Alta,Não se aplica,Média,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",Nao moro no brasil,"- No website nao havia nenhuma explicacao sobre o que eram as trilhas, tive que ir no discord para descobrir. Talvez seja claro para quem ja participou de algum PYBR mas como minha primeira vez nao ficou claro.
- No youTube ha links com os horarios mas o que seria ideal agora é linkar pra onde começa a palestra. Do jeito que está agora tem que ficar indo pra frente e pra tras até a achar a palestra desejada.
- Nao achei nenhuma explicacao do que era um sprint durante o evento, tive que entrar numa sala do discord e perguntar pessoalmente. Participei do da PyLadies e pareceu que era um hackathon (tentar arrumar o maior numero de bugs possivel em algumas horas), entao nao entendi pq foi chamado de sprint.
- Achei todo o processo de tutoriais bem complicado, no meio do evento perceberam que pessoas se cadastraram em 20 tutoriais, cancelaram todos e mandaram todos se cadastrar novamente. Acho que dava pra ter evitado isso limitando o numero de vagas para cada usuario (Nao sei os detalhes pq nao participei de nenhum tutorial, paraceu bem confuso o processo).","- Obrigado pela boa quantidade de mulheres participantes, palestrantes e hosts, estao de parabens!"
Sim,"Rodas de conversa, Palestras à tarde, Tutoriais","Terça-feira, Domingo",Muito alta,Muito alta,Muito alta,,Muito alta,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Moro fora do Brasil,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,"Só continua, foi minha primeira vez e eu gostei muito! Uma pena não poder ter participado de tudo porém, por estar gravado, to conseguindo ver TUDO!",Parabéns a todos os envolvidos.
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira",Muito alta,Baixa,Muito alta,,,,Excelente,Bom,Bom,Não se aplica,Muito alta,Muito baixa,"O TRABALHO IMPEDE, ÀS VEZES, A CONCENTRAÇÃO NECESSÁRIA","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,"O AVISO DO TUTORIAL FOI SINISTRO. QUANDO CONSEGUI O QUE QUERIA, VOCÊS CANCELARAM. FOI UM IMPACTO. ",PARABÉNS PELA INICIATIVA NUM MUNDO TÃO COMPETITIVO. MUITO GOOD VIBES! E O QUE MAIS ME CHAMA A ATENÇÃO É A IDADE DA MOÇADA. BACANA!
Sim,Palestras à noite,"Segunda-feira, Quarta-feira",Muito alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,,,"Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Bom,Bom,Excelente,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa",,"Achei o evento incrível, um dos melhores que já participei online. Estão de parabéns.",
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Indiferente,Indiferente,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Conectividade","Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",Ganho pouco e talvez não consiga ser liberado para viajar,,"Foi muito bom, parabéns!"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Não ter ninguém com quem deixar os filhos","No caso de evento online, a maior dificuldade é mesmo uma congruência de horários (estamos atualmente em Portugal). Já no caso de evento presencial, poucos são os que comportam a família toda - deixo aqui uma nota sobre as excelêntes experiências nos Caipyra de 2018 e de 2019.","Gostei bastante da experiência, mas não tenho nenhuma opinião no momento sobre como melhorar.",Nenhum outro comentário.
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Quarta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Acessibilidade do evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Acessibilidade do evento",...,A configuração atual está boa,Foi excelente
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Muito alta,Alta,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia",Moro em outro país atualmente.,Viabilizar tecnicamente as Lightning Talks pra evento online,Parabéns à toda a organização e em especial para a equipe que desenvolveu a programação visual
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Alta,Muito alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia","Nao há qualquer perspectiva real de vacina em massa para Covid19 até 2021, e a crise econômica advinda da pandemia deve estar no seu auge sem o auxílio emergencial.",Conseguir disponibilizar a programação mais cedo com os temas de cada palestra etc. Mais vagas para as atividades do fim de semana.,"Ter no discord ou Telegram da vida um canal permanente ""oficial"" da comunidade. Regulado por temas e com bots organizando as coisas.  Parabéns pelo evento maravilhoso,  comunidade é incrível!"
Não,"Palestras à tarde, Palestras à noite",Terça-feira,Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,,,,
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Domingo",Muito alta,Não se aplica,Muito alta,Não se aplica,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Custo do transporte,,,
Sim,Palestras à tarde,"Segunda-feira, Terça-feira",Muito alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,Vocês são demais! Adorei o evento!
Sim,Palestras à noite,"Segunda-feira, Terça-feira",Média,Alta,Alta,,,,Bom,Bom,,,Alta,,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte",Qual seria o local?,,
Não,"Palestras à tarde, Keynotes","Segunda-feira, Terça-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",,,
